Molecule	OriginalName	Hash	ComboTanimoto	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	Overlap
omega_392_31_0	omega_392_31	92e6d65e8ee0ec297308e8639784bf5a	1.178	0.795	0.383	1.447	0.831	0.616	1.452	0.949	0.503	1226.053
omega_3403_13_0	omega_3403_13	0e4261af7d65bfda53c90e448016c49b	1.175	0.718	0.457	1.489	0.843	0.646	1.438	0.829	0.609	1061.381
omega_1818_6_0	omega_1818_6	c204e4f59047b2c88ee27f97a12a05a9	1.167	0.705	0.462	1.76	0.956	0.804	1.249	0.729	0.52	922.131
omega_1579_29_0	omega_1579_29	f0cc641122d0938f517b6a2b58a760cf	1.154	0.619	0.535	1.603	0.803	0.8	1.347	0.729	0.618	930.344
omega_2913_39_0	omega_2913_39	cc5d67d9d8f9f4a5a1f13651a8376e0b	1.141	0.725	0.416	1.586	0.879	0.707	1.308	0.805	0.503	1027.658
omega_1653_49_0	omega_1653_49	a10fee4ba6b86201bf9692421288f7a2	1.121	0.78	0.341	1.573	0.915	0.658	1.256	0.841	0.415	1073.549
omega_2871_22_0	omega_2871_22	d145a5e9be56e66220c5b127b7655867	1.12	0.643	0.478	1.578	0.814	0.763	1.314	0.753	0.561	961.298
omega_506_16_0	omega_506_16	3935ffcd532b189a7bb26782d0eee569	1.12	0.777	0.343	1.378	0.868	0.511	1.393	0.882	0.511	1131.466
omega_2814_2_0	omega_2814_2	04e660cecd9d34b15ecac34237d9e579	1.12	0.67	0.45	1.806	0.899	0.907	1.196	0.725	0.472	919.096
omega_2966_43_0	omega_2966_43	1bb31282e0b2a17c2d1308ab99ef44bd	1.114	0.69	0.425	1.604	0.845	0.759	1.28	0.79	0.491	1008.449
omega_615_17_0	omega_615_17	98f30d3af5993ad2051e7162c4891ca2	1.111	0.66	0.451	1.595	0.846	0.749	1.282	0.751	0.531	956.298
omega_365_20_0	omega_365_20	c08a114578b7a9df2fe6eb748af58aac	1.099	0.759	0.341	1.392	0.844	0.548	1.357	0.883	0.474	1134.396
omega_695_36_0	omega_695_36	19c859ec00062be3c935faefb3633eab	1.085	0.671	0.415	1.526	0.826	0.7	1.285	0.781	0.504	997.932
omega_3350_13_0	omega_3350_13	911d20e7c3900d14fcff87076e116b35	1.081	0.674	0.407	1.587	0.862	0.725	1.237	0.755	0.481	961.506
