Molecule	OriginalName	Hash	ComboTanimoto	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	Overlap
omega_557_42_0	omega_557_42	652d8bc38190e35021252a903a5a24c2	1.211	0.784	0.427	1.525	0.908	0.617	1.433	0.852	0.581	1005.143
omega_1366_37_0	omega_1366_37	8aecbe7067faac993f019015a0ded396	1.182	0.7	0.482	1.563	0.83	0.733	1.402	0.816	0.585	965.875
omega_405_45_0	omega_405_45	269e1505549490ed6483f35ab24400c3	1.161	0.695	0.467	1.588	0.872	0.717	1.346	0.774	0.572	910.752
omega_403_45_0	omega_403_45	b61238d0697d9ed4fbf2266901d59fbb	1.153	0.679	0.474	1.585	0.861	0.724	1.341	0.763	0.578	897.769
omega_1102_8_0	omega_1102_8	7b0f880cdae9d22db95a602e83e49ca8	1.142	0.733	0.41	1.325	0.795	0.53	1.547	0.903	0.644	1078.023
omega_1337_21_0	omega_1337_21	84d9bf244100975b1fc0c007b2174a2d	1.131	0.697	0.435	1.689	0.913	0.776	1.243	0.746	0.497	874.971
omega_1704_46_0	omega_1704_46	ac82ff06eeaa9a29f6bec17df9aa6f20	1.128	0.764	0.364	1.281	0.859	0.421	1.601	0.873	0.728	1034.953
omega_917_22_0	omega_917_22	ca68815c7bf8cc56b03948ba53f8728a	1.121	0.673	0.449	1.553	0.857	0.696	1.315	0.758	0.558	891.386
omega_1106_40_0	omega_1106_40	f53919ae9aaece7d3a269853861aae3d	1.121	0.761	0.359	1.484	0.918	0.566	1.313	0.817	0.496	961.07
omega_249_24_0	omega_249_24	13e71ee005a829718509838427ca7c73	1.105	0.713	0.393	1.503	0.868	0.635	1.306	0.799	0.507	941.778
omega_1418_34_0	omega_1418_34	86abd4c53c2ea125f35b7996f3edb57f	1.101	0.614	0.487	1.65	0.811	0.839	1.253	0.716	0.537	842.64
omega_1371_7_0	omega_1371_7	fe2edf2ff40c93fd39b82c7075bdb724	1.098	0.731	0.366	1.732	0.904	0.828	1.189	0.793	0.397	932.354
omega_1359_4_0	omega_1359_4	ea5314672201e6300b86e0797b27a085	1.096	0.775	0.321	1.409	0.89	0.519	1.314	0.857	0.457	1012.91
omega_1988_1_0	omega_1988_1	6ac106266823ebd94dab64b8b7dacc9f	1.093	0.667	0.427	1.567	0.906	0.661	1.262	0.716	0.546	838.594
omega_67_34_0	omega_67_34	086dcc6ea943fb0d45ed7d0c79115161	1.088	0.66	0.428	1.402	0.822	0.579	1.391	0.771	0.62	909.232
omega_349_25_0	omega_349_25	4e6f54e1eda2900e9c352e495f1b3fae	1.088	0.708	0.38	1.582	0.93	0.651	1.225	0.747	0.477	875.177
omega_2091_35_0	omega_2091_35	57562b17747abd85be2bae46533574b0	1.087	0.677	0.41	1.659	0.915	0.744	1.2	0.723	0.477	845.971
omega_1983_1_0	omega_1983_1	01f2abd3bb6ae250dd5bcabf1e23f67b	1.074	0.658	0.416	1.348	0.783	0.565	1.416	0.805	0.611	954.701
omega_1117_38_0	omega_1117_38	f8d6d6e052f02014e472084276e44a6b	1.071	0.654	0.416	1.443	0.814	0.629	1.321	0.77	0.552	908.713
omega_1962_42_0	omega_1962_42	9fb18201a77fa3f6d2efc84a2b08dd6d	1.069	0.721	0.347	1.339	0.855	0.484	1.373	0.822	0.551	970.738
omega_352_3_0	omega_352_3	69a19cad8fc1bc8c12efe4d69ba09d9a	1.066	0.695	0.371	1.417	0.846	0.571	1.31	0.796	0.514	939.764
omega_2176_14_0	omega_2176_14	db9c5ecb841b046b66668f86173b1a25	1.065	0.701	0.363	1.396	0.852	0.544	1.322	0.799	0.523	942.696
omega_1025_39_0	omega_1025_39	39608b4dd91eaef7c88950590ea2c19d	1.062	0.712	0.35	1.316	0.812	0.504	1.386	0.852	0.534	1012.106
omega_661_15_0	omega_661_15	1864b002fd04da6e04e877cb301f5a15	1.06	0.627	0.433	1.474	0.844	0.63	1.29	0.709	0.581	832.681
omega_1701_22_0	omega_1701_22	6a20740303415a3d81529d3302f09c6d	1.058	0.697	0.361	1.505	0.871	0.634	1.234	0.777	0.457	914.812
omega_591_6_0	omega_591_6	4cd02f2fe08181bcf4fed5a2eca3b5f5	1.056	0.722	0.334	1.387	0.857	0.531	1.295	0.821	0.474	970.154
omega_573_35_0	omega_573_35	4fd70e64ec2f0d406d67f2b7b997cec4	1.056	0.635	0.421	1.384	0.764	0.62	1.358	0.79	0.568	937.394
omega_316_6_0	omega_316_6	a4f52cc900cbbc6d0c45aa1c90d01a9a	1.054	0.633	0.422	1.457	0.827	0.63	1.289	0.729	0.56	857.909
omega_1593_47_0	omega_1593_47	f486d52b419a65bad5a7fe1206352509	1.054	0.634	0.42	1.592	0.835	0.757	1.21	0.725	0.485	852.781
omega_1530_2_0	omega_1530_2	5157fcace9a40e032e8d316bdd2c4ed1	1.05	0.79	0.261	1.413	0.929	0.484	1.201	0.84	0.361	989.17
omega_429_12_0	omega_429_12	c08368dd1e60e5100d35350ad9f9e260	1.047	0.686	0.361	1.412	0.85	0.562	1.283	0.78	0.503	919.304
omega_940_24_0	omega_940_24	aa2299d14a229501a191f3bcf7373d00	1.044	0.69	0.354	1.329	0.819	0.51	1.351	0.814	0.537	964.118
