Molecule	OriginalName	Hash	ComboTanimoto	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	Overlap
omega_28_34_0	omega_28_34	4da83561c91b97a5ec73258e5e709394	1.871	0.902	0.969	1.942	0.958	0.984	1.923	0.939	0.984	1202.673
omega_9_19_0	omega_9_19	d7c50ac36033bf6d7d658551a7f8d5c5	1.747	0.965	0.782	1.876	0.97	0.906	1.846	0.995	0.851	1277.816
omega_64_7_0	omega_64_7	b6f9d59c3ed9b69c12de8cc01c6f1c9f	1.688	0.901	0.787	1.845	0.936	0.909	1.815	0.961	0.854	1233.391
omega_60_14_0	omega_60_14	83f0e28dc193ef49a29f6b831e7812f5	1.687	0.9	0.787	1.844	0.935	0.909	1.814	0.96	0.854	1232.229
omega_17_7_0	omega_17_7	6b888dd673bac54b8283c1a7f1c96683	1.582	0.9	0.682	1.885	0.942	0.943	1.664	0.952	0.711	1221.519
omega_51_42_0	omega_51_42	65ca0c3c93e4014178bd48d7484a1b24	1.516	0.899	0.616	1.781	0.933	0.848	1.655	0.962	0.693	1235.321
omega_48_45_0	omega_48_45	1d843da825f9d36024b61b87c3833270	1.479	0.895	0.584	1.733	0.944	0.789	1.638	0.944	0.693	1210.702
omega_15_3_0	omega_15_3	c03177690048c680f2f93b9c4bc98ced	1.266	0.704	0.562	1.837	0.921	0.916	1.342	0.75	0.593	951.013
omega_54_4_0	omega_54_4	3f4d04fdd0abeb9c0d2757181d246507	1.234	0.766	0.468	1.618	0.923	0.694	1.408	0.819	0.59	1042.667
omega_62_3_0	omega_62_3	9f6263a40197344b50b9940807e20a52	1.226	0.69	0.537	1.694	0.863	0.831	1.377	0.775	0.603	987.367
omega_6_29_0	omega_6_29	34fa45ba383407895989a809cdbef600	1.119	0.769	0.35	1.467	0.865	0.602	1.329	0.874	0.455	1121.487
omega_34_45_0	omega_34_45	d8d5810400ac9d0ae6068289d9c1b9fa	1.091	0.826	0.265	1.311	0.873	0.438	1.34	0.939	0.401	1208.963
omega_22_21_0	omega_22_21	671a17f5f1a312157167e3fc31d23e27	1.086	0.771	0.314	1.227	0.786	0.442	1.499	0.977	0.522	1269.776
omega_39_16_0	omega_39_16	9a2a4fc365737cbd752d1c56a096aae3	0.972	0.591	0.381	1.215	0.715	0.5	1.389	0.774	0.615	996.662
omega_19_36_0	omega_19_36	ffb7c6647503b3c9c301730bf084191b	0.946	0.731	0.215	1.163	0.811	0.352	1.237	0.881	0.356	1135.171
omega_44_1_0	omega_44_1	1eda7362c9fdd697dec469e24cc3edea	0.94	0.639	0.301	1.383	0.829	0.553	1.133	0.735	0.397	936.922
omega_2_17_0	omega_2_17	003c2fecaa82fa1f13771878a169169b	0.937	0.578	0.359	1.23	0.693	0.537	1.297	0.778	0.519	1003.987
omega_23_4_0	omega_23_4	ab7a9e98151a9f094aa12f2fbbf834ba	0.936	0.618	0.318	1.388	0.811	0.577	1.137	0.722	0.414	920.331
omega_33_4_0	omega_33_4	b4b1dd54f390b738e40ed93d2bb67bbf	0.934	0.712	0.222	1.116	0.762	0.354	1.289	0.916	0.373	1187.774
omega_11_6_0	omega_11_6	c4bc87f74aced30e16f0e5e12766bb91	0.929	0.659	0.269	1.337	0.829	0.508	1.127	0.763	0.364	973.499
