Molecule	OriginalName	ComboTanimoto	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	Overlap
CHEMBL221029_0	CHEMBL221029	2.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	348.494
CHEMBL220585_0	CHEMBL220585	1.762	1.0	0.762	1.919	1.0	0.919	1.817	0.999	0.817	348.3
CHEMBL557844_0	CHEMBL557844	1.379	0.72	0.659	1.569	0.796	0.774	1.7	0.884	0.816	310.003
CHEMBL221912_0	CHEMBL221912	1.354	0.834	0.521	1.708	0.936	0.773	1.499	0.884	0.615	307.215
CHEMBL221037_0	CHEMBL221037	1.188	0.635	0.553	1.389	0.712	0.678	1.605	0.855	0.75	301.509
CHEMBL375296_0	CHEMBL375296	1.125	0.59	0.534	1.337	0.674	0.663	1.559	0.825	0.734	291.225
CHEMBL221376_0	CHEMBL221376	1.122	0.589	0.533	1.304	0.666	0.638	1.6	0.835	0.764	295.265
CHEMBL222027_0	CHEMBL222027	1.116	0.63	0.487	1.32	0.707	0.613	1.554	0.852	0.702	300.411
CHEMBL1081138_0	CHEMBL1081138	1.066	0.66	0.406	1.384	0.772	0.612	1.366	0.819	0.546	286.527
CHEMBL1079594_0	CHEMBL1079594	1.048	0.63	0.419	1.189	0.667	0.523	1.597	0.919	0.678	327.313
CHEMBL375205_0	CHEMBL375205	1.038	0.575	0.463	1.28	0.658	0.622	1.464	0.819	0.644	289.53
CHEMBL375296_1	CHEMBL375296	1.035	0.523	0.513	1.269	0.624	0.645	1.477	0.763	0.714	269.277
CHEMBL382752_0	CHEMBL382752	1.006	0.619	0.387	1.297	0.749	0.548	1.35	0.782	0.569	273.064
CHEMBL568815_0	CHEMBL568815	0.998	0.657	0.341	1.291	0.783	0.507	1.313	0.803	0.51	280.216
CHEMBL1080322_0	CHEMBL1080322	0.981	0.625	0.355	1.21	0.709	0.501	1.392	0.842	0.55	296.345
CHEMBL1081975_0	CHEMBL1081975	0.976	0.626	0.349	1.175	0.692	0.483	1.426	0.869	0.557	307.198
CHEMBL391492_0	CHEMBL391492	0.975	0.552	0.423	1.135	0.616	0.519	1.539	0.843	0.696	299.755
CHEMBL200832_0	CHEMBL200832	0.968	0.592	0.376	1.235	0.723	0.513	1.351	0.765	0.586	267.62
CHEMBL375076_0	CHEMBL375076	0.952	0.571	0.381	1.279	0.727	0.552	1.278	0.726	0.552	253.054
CHEMBL1077841_0	CHEMBL1077841	0.945	0.575	0.37	1.326	0.7	0.626	1.237	0.762	0.475	267.029
CHEMBL583030_0	CHEMBL583030	0.915	0.606	0.309	1.228	0.756	0.472	1.224	0.753	0.471	262.297
CHEMBL583895_0	CHEMBL583895	0.911	0.626	0.285	1.191	0.748	0.443	1.237	0.794	0.443	277.805
CHEMBL1078229_0	CHEMBL1078229	0.91	0.554	0.356	1.272	0.687	0.585	1.218	0.742	0.476	259.573
CHEMBL569739_0	CHEMBL569739	0.904	0.582	0.322	1.214	0.712	0.501	1.235	0.761	0.474	266.312
CHEMBL1081977_0	CHEMBL1081977	0.903	0.596	0.307	1.126	0.664	0.462	1.332	0.854	0.478	302.298
CHEMBL576475_0	CHEMBL576475	0.899	0.606	0.293	1.222	0.756	0.466	1.195	0.754	0.441	262.74
CHEMBL571118_0	CHEMBL571118	0.898	0.624	0.274	1.205	0.755	0.45	1.195	0.783	0.412	273.258
CHEMBL1081443_0	CHEMBL1081443	0.882	0.604	0.278	1.174	0.711	0.463	1.212	0.801	0.41	281.26
