Molecule	OriginalName	ComboTanimoto	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	Overlap
CHEMBL221029_0	CHEMBL221029	2.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1166.528
CHEMBL220585_0	CHEMBL220585	1.762	1.0	0.762	1.919	1.0	0.919	1.817	1.0	0.817	1166.285
CHEMBL557844_0	CHEMBL557844	1.416	0.758	0.659	1.609	0.835	0.774	1.707	0.891	0.816	1043.744
CHEMBL221912_0	CHEMBL221912	1.386	0.866	0.521	1.73	0.958	0.773	1.515	0.9	0.615	1046.4
CHEMBL221037_0	CHEMBL221037	1.223	0.671	0.553	1.41	0.733	0.678	1.638	0.888	0.75	1047.908
CHEMBL222027_0	CHEMBL222027	1.18	0.694	0.487	1.366	0.753	0.613	1.6	0.898	0.702	1058.909
CHEMBL221376_0	CHEMBL221376	1.17	0.637	0.533	1.345	0.707	0.638	1.63	0.866	0.764	1023.373
CHEMBL375296_0	CHEMBL375296	1.154	0.619	0.534	1.352	0.689	0.663	1.593	0.859	0.734	1016.538
CHEMBL1081138_0	CHEMBL1081138	1.135	0.73	0.406	1.403	0.791	0.612	1.45	0.903	0.546	1062.149
CHEMBL1079594_0	CHEMBL1079594	1.133	0.714	0.419	1.254	0.731	0.523	1.647	0.97	0.678	1152.017
CHEMBL1080322_0	CHEMBL1080322	1.116	0.761	0.355	1.332	0.831	0.501	1.451	0.9	0.55	1055.369
CHEMBL375205_0	CHEMBL375205	1.109	0.646	0.463	1.326	0.705	0.622	1.53	0.886	0.644	1048.488
CHEMBL375296_1	CHEMBL375296	1.095	0.582	0.513	1.308	0.663	0.645	1.54	0.826	0.714	977.386
CHEMBL568815_0	CHEMBL568815	1.082	0.741	0.341	1.344	0.837	0.507	1.377	0.866	0.51	1012.783
CHEMBL1081975_0	CHEMBL1081975	1.081	0.731	0.349	1.232	0.749	0.483	1.526	0.969	0.557	1149.176
CHEMBL382752_0	CHEMBL382752	1.077	0.689	0.387	1.309	0.761	0.548	1.449	0.88	0.569	1035.617
CHEMBL375076_0	CHEMBL375076	1.043	0.662	0.381	1.349	0.797	0.552	1.349	0.797	0.552	929.57
CHEMBL200832_0	CHEMBL200832	1.039	0.663	0.376	1.251	0.739	0.513	1.452	0.866	0.586	1019.731
CHEMBL391492_0	CHEMBL391492	1.027	0.604	0.423	1.178	0.659	0.519	1.574	0.878	0.696	1043.476
CHEMBL1077841_0	CHEMBL1077841	1.018	0.648	0.37	1.344	0.719	0.626	1.343	0.868	0.475	1023.973
CHEMBL571118_0	CHEMBL571118	1.009	0.735	0.274	1.286	0.836	0.45	1.272	0.86	0.412	1004.253
CHEMBL583895_0	CHEMBL583895	1.003	0.718	0.285	1.253	0.81	0.443	1.307	0.864	0.443	1011.511
CHEMBL1081977_0	CHEMBL1081977	0.997	0.689	0.307	1.186	0.724	0.462	1.414	0.936	0.478	1109.789
CHEMBL569739_0	CHEMBL569739	0.996	0.674	0.322	1.282	0.78	0.501	1.306	0.832	0.474	974.638
CHEMBL583030_0	CHEMBL583030	0.988	0.679	0.309	1.281	0.809	0.472	1.28	0.809	0.471	943.219
CHEMBL191003_0	CHEMBL191003	0.986	0.712	0.274	1.223	0.801	0.422	1.304	0.866	0.438	1014.482
CHEMBL1078275_0	CHEMBL1078275	0.985	0.702	0.284	1.239	0.765	0.474	1.308	0.895	0.414	1053.387
CHEMBL1081443_0	CHEMBL1081443	0.984	0.706	0.278	1.24	0.777	0.463	1.296	0.886	0.41	1041.938
CHEMBL1078229_0	CHEMBL1078229	0.977	0.621	0.356	1.281	0.696	0.585	1.328	0.852	0.476	1006.143
CHEMBL576475_0	CHEMBL576475	0.972	0.679	0.293	1.275	0.809	0.466	1.25	0.809	0.441	943.809
CHEMBL1087898_0	CHEMBL1087898	0.967	0.702	0.265	1.306	0.857	0.449	1.187	0.795	0.392	924.232
CHEMBL1079078_0	CHEMBL1079078	0.954	0.649	0.306	1.24	0.72	0.52	1.293	0.868	0.425	1024.125
CHEMBL1078274_0	CHEMBL1078274	0.945	0.681	0.264	1.231	0.766	0.465	1.239	0.86	0.379	1010.067
