Molecule	OriginalName	ComboTanimoto	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	Overlap
CHEMBL221029_0	CHEMBL221029	2.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1169.784
CHEMBL220585_0	CHEMBL220585	1.789	1.0	0.789	1.882	1.0	0.882	1.882	1.0	0.882	1169.54
CHEMBL375076_0_8	CHEMBL375076	1.561	0.805	0.757	1.758	0.896	0.862	1.748	0.887	0.861	1037.446
CHEMBL375076_0_9	CHEMBL375076	1.561	0.805	0.757	1.758	0.896	0.862	1.748	0.887	0.861	1037.446
CHEMBL375076_0_7	CHEMBL375076	1.561	0.805	0.757	1.758	0.896	0.862	1.748	0.887	0.861	1037.445
CHEMBL221029_0_4	CHEMBL221029	1.552	0.768	0.785	1.753	0.873	0.88	1.743	0.864	0.879	1010.495
CHEMBL222027_0_9	CHEMBL222027	1.531	0.771	0.76	1.602	0.803	0.799	1.89	0.951	0.94	1123.398
CHEMBL221029_0_5	CHEMBL221029	1.522	0.767	0.754	1.733	0.873	0.861	1.723	0.864	0.859	1010.137
CHEMBL221912_0	CHEMBL221912	1.433	0.863	0.571	1.7	0.956	0.745	1.608	0.898	0.709	1047.529
CHEMBL557844_0	CHEMBL557844	1.416	0.758	0.659	1.583	0.835	0.748	1.738	0.891	0.846	1046.46
CHEMBL376885_1_9	CHEMBL376885	1.384	0.663	0.721	1.506	0.731	0.775	1.789	0.878	0.911	1038.658
CHEMBL220585_0_7	CHEMBL220585	1.374	0.767	0.606	1.628	0.873	0.755	1.618	0.864	0.755	1009.72
CHEMBL220585_0_0	CHEMBL220585	1.374	0.767	0.606	1.628	0.873	0.755	1.618	0.864	0.755	1009.712
CHEMBL557844_0_9	CHEMBL557844	1.373	0.735	0.638	1.556	0.822	0.734	1.703	0.874	0.829	1025.487
CHEMBL376885_1_6	CHEMBL376885	1.363	0.665	0.698	1.493	0.732	0.761	1.774	0.88	0.894	1040.664
CHEMBL375205_0_8	CHEMBL375205	1.354	0.758	0.596	1.468	0.777	0.691	1.782	0.97	0.812	1149.977
CHEMBL1087898_0_9	CHEMBL1087898	1.354	0.879	0.475	1.655	0.977	0.677	1.512	0.897	0.614	1044.808
CHEMBL1087898_0_4	CHEMBL1087898	1.345	0.904	0.441	1.636	0.992	0.644	1.494	0.91	0.584	1059.993
CHEMBL1087898_0_5	CHEMBL1087898	1.345	0.904	0.441	1.636	0.992	0.644	1.494	0.91	0.584	1059.927
CHEMBL376885_1_8	CHEMBL376885	1.331	0.649	0.681	1.471	0.721	0.75	1.748	0.867	0.882	1025.152
CHEMBL376885_0_7	CHEMBL376885	1.32	0.667	0.652	1.448	0.734	0.713	1.763	0.879	0.884	1039.795
CHEMBL1088029_0_8	CHEMBL1088029	1.301	0.862	0.439	1.542	0.928	0.614	1.529	0.923	0.606	1079.805
CHEMBL221912_0_8	CHEMBL221912	1.295	0.747	0.548	1.612	0.886	0.726	1.517	0.826	0.691	962.861
CHEMBL1088029_0_9	CHEMBL1088029	1.291	0.857	0.434	1.534	0.926	0.609	1.522	0.921	0.601	1076.507
CHEMBL221912_0_6	CHEMBL221912	1.281	0.756	0.525	1.599	0.892	0.706	1.504	0.832	0.672	969.359
CHEMBL1088029_0_3	CHEMBL1088029	1.277	0.871	0.405	1.515	0.934	0.581	1.502	0.928	0.573	1085.647
CHEMBL222027_0_4	CHEMBL222027	1.267	0.642	0.625	1.433	0.721	0.712	1.69	0.853	0.837	1008.616
CHEMBL375205_0_7	CHEMBL375205	1.266	0.744	0.522	1.403	0.768	0.635	1.705	0.959	0.746	1137.296
CHEMBL568788_2_9	CHEMBL568788	1.258	0.817	0.441	1.519	0.897	0.622	1.503	0.902	0.601	1055.152
CHEMBL568788_2_1	CHEMBL568788	1.226	0.795	0.431	1.497	0.884	0.613	1.48	0.888	0.593	1038.514
CHEMBL221376_0_0	CHEMBL221376	1.214	0.613	0.6	1.386	0.692	0.694	1.66	0.843	0.816	998.833
CHEMBL568788_1_8	CHEMBL568788	1.211	0.776	0.435	1.487	0.872	0.614	1.474	0.876	0.599	1024.701
CHEMBL576475_0_4	CHEMBL576475	1.209	0.769	0.44	1.444	0.871	0.573	1.522	0.868	0.654	1014.705
CHEMBL218439_1_1	CHEMBL218439	1.2	0.615	0.585	1.377	0.696	0.681	1.646	0.84	0.807	993.669
CHEMBL583030_0_4	CHEMBL583030	1.199	0.782	0.417	1.431	0.879	0.552	1.506	0.876	0.63	1024.017
CHEMBL570002_1_4	CHEMBL570002	1.197	0.785	0.412	1.447	0.876	0.571	1.48	0.883	0.597	1033.74
