Molecule	OriginalName	ComboTanimoto	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	Overlap
CHEMBL221029_0	CHEMBL221029	2.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	215.17
CHEMBL220585_0	CHEMBL220585	1.762	1.0	0.762	1.919	1.0	0.919	1.818	1.0	0.817	215.206
CHEMBL557844_0	CHEMBL557844	1.407	0.748	0.659	1.592	0.818	0.774	1.713	0.897	0.816	194.16
CHEMBL221912_0	CHEMBL221912	1.353	0.832	0.521	1.684	0.911	0.773	1.521	0.906	0.615	194.859
CHEMBL221037_0	CHEMBL221037	1.184	0.631	0.553	1.374	0.696	0.678	1.622	0.872	0.75	190.185
CHEMBL222027_0	CHEMBL222027	1.174	0.687	0.487	1.366	0.752	0.613	1.59	0.888	0.702	192.919
CHEMBL221376_0	CHEMBL221376	1.152	0.619	0.533	1.332	0.694	0.638	1.616	0.852	0.764	185.66
CHEMBL375296_0	CHEMBL375296	1.107	0.573	0.534	1.309	0.646	0.663	1.568	0.834	0.734	182.453
CHEMBL1079594_0	CHEMBL1079594	1.105	0.686	0.419	1.25	0.728	0.523	1.601	0.923	0.678	201.615
CHEMBL375205_0	CHEMBL375205	1.094	0.631	0.463	1.317	0.695	0.622	1.517	0.873	0.644	190.557
CHEMBL1081138_0	CHEMBL1081138	1.076	0.671	0.406	1.361	0.749	0.612	1.412	0.865	0.546	187.83
CHEMBL1080322_0	CHEMBL1080322	1.076	0.721	0.355	1.303	0.802	0.501	1.428	0.877	0.55	189.807
CHEMBL375296_1	CHEMBL375296	1.066	0.553	0.513	1.277	0.632	0.645	1.53	0.816	0.714	178.54
CHEMBL568815_0	CHEMBL568815	1.025	0.683	0.341	1.303	0.796	0.507	1.339	0.829	0.51	178.685
CHEMBL382752_0	CHEMBL382752	1.019	0.632	0.387	1.251	0.703	0.548	1.431	0.863	0.569	187.969
CHEMBL1081975_0	CHEMBL1081975	1.006	0.657	0.349	1.182	0.699	0.483	1.473	0.916	0.557	200.53
