Molecule	OriginalName	ComboTanimoto	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	Overlap
CHEMBL369070_0_71	CHEMBL369070	1.403	0.792	0.612	1.56	0.83	0.731	1.735	0.945	0.79	1172.369
CHEMBL1093480_0_84	CHEMBL1093480	1.36	0.839	0.522	1.652	0.902	0.75	1.554	0.922	0.632	1136.238
CHEMBL175564_0_99	CHEMBL175564	1.325	0.743	0.582	1.509	0.801	0.708	1.676	0.912	0.765	1130.443
CHEMBL354419_0_18	CHEMBL354419	1.321	0.821	0.501	1.554	0.859	0.696	1.59	0.949	0.641	1174.775
CHEMBL274274_0_31	CHEMBL274274	1.274	0.794	0.48	1.519	0.828	0.691	1.562	0.951	0.611	1179.819
CHEMBL426821_0_8	CHEMBL426821	1.273	0.821	0.452	1.648	0.97	0.678	1.417	0.842	0.575	1028.918
CHEMBL196258_0_92	CHEMBL196258	1.271	0.747	0.523	1.688	0.943	0.745	1.42	0.782	0.638	953.65
CHEMBL179265_0_97	CHEMBL179265	1.229	0.779	0.45	1.394	0.796	0.598	1.618	0.973	0.645	1212.462
CHEMBL183674_0_59	CHEMBL183674	1.229	0.731	0.498	1.535	0.865	0.669	1.485	0.825	0.66	1012.354
CHEMBL248298_0_77	CHEMBL248298	1.223	0.716	0.506	1.582	0.9	0.682	1.442	0.779	0.663	951.096
CHEMBL183674_0_90	CHEMBL183674	1.213	0.75	0.463	1.517	0.88	0.637	1.464	0.835	0.629	1025.014
CHEMBL409915_0_22	CHEMBL409915	1.2	0.782	0.418	1.513	0.904	0.61	1.424	0.854	0.571	1047.08
CHEMBL259832_0_0	CHEMBL259832	1.184	0.786	0.398	1.468	0.895	0.573	1.431	0.866	0.565	1063.833
CHEMBL113542_0_72	CHEMBL113542	1.168	0.75	0.418	1.52	0.87	0.651	1.384	0.845	0.539	1038.102
CHEMBL113967_0_98	CHEMBL113967	1.159	0.749	0.409	1.509	0.868	0.641	1.377	0.846	0.531	1039.021
CHEMBL110047_0_61	CHEMBL110047	1.156	0.748	0.408	1.471	0.851	0.62	1.405	0.86	0.545	1059.197
CHEMBL325237_0_96	CHEMBL325237	1.151	0.717	0.434	1.536	0.867	0.668	1.359	0.806	0.553	987.649
CHEMBL113967_0_42	CHEMBL113967	1.144	0.741	0.403	1.496	0.862	0.634	1.366	0.841	0.525	1033.697
CHEMBL113542_0_13	CHEMBL113542	1.135	0.723	0.412	1.495	0.851	0.644	1.361	0.828	0.533	1017.128
CHEMBL334873_0_15	CHEMBL334873	1.123	0.782	0.341	1.586	0.925	0.661	1.249	0.836	0.413	1022.643
CHEMBL1092271_0_76	CHEMBL1092271	1.101	0.693	0.409	1.544	0.895	0.649	1.279	0.754	0.524	920.304
CHEMBL601628_0_37	CHEMBL601628	1.082	0.752	0.331	1.415	0.874	0.542	1.303	0.843	0.459	1035.793
CHEMBL85549_0_22	CHEMBL85549	1.075	0.761	0.314	1.331	0.872	0.459	1.356	0.856	0.5	1052.5
CHEMBL609603_0_26	CHEMBL609603	1.066	0.733	0.333	1.467	0.896	0.571	1.246	0.801	0.445	979.345
CHEMBL178589_0_39	CHEMBL178589	1.066	0.693	0.373	1.48	0.883	0.597	1.261	0.763	0.498	931.791
CHEMBL85549_0_8	CHEMBL85549	1.058	0.773	0.285	1.309	0.882	0.427	1.325	0.862	0.463	1059.607
CHEMBL68738_0_20	CHEMBL68738	1.052	0.799	0.254	1.302	0.914	0.389	1.286	0.864	0.422	1059.61
CHEMBL177330_0_68	CHEMBL177330	1.051	0.725	0.326	1.444	0.905	0.539	1.237	0.785	0.452	958.757
CHEMBL571672_0_12	CHEMBL571672	1.028	0.72	0.308	1.446	0.902	0.544	1.196	0.781	0.415	953.916
CHEMBL558291_0_30	CHEMBL558291	1.027	0.718	0.309	1.462	0.917	0.545	1.184	0.768	0.416	936.878
CHEMBL300624_0_23	CHEMBL300624	1.018	0.758	0.26	1.343	0.892	0.451	1.215	0.834	0.381	1023.115
CHEMBL564473_0_10	CHEMBL564473	1.015	0.728	0.287	1.355	0.858	0.497	1.232	0.827	0.405	1015.794
CHEMBL165760_1_47	CHEMBL165760	1.001	0.752	0.249	1.494	0.931	0.563	1.106	0.796	0.309	972.177
CHEMBL426530_0_97	CHEMBL426530	0.979	0.731	0.248	1.352	0.9	0.453	1.151	0.797	0.354	974.025
CHEMBL392136_0_63	CHEMBL392136	0.944	0.626	0.318	1.363	0.8	0.564	1.164	0.743	0.422	910.071
CHEMBL100382_0_80	CHEMBL100382	0.943	0.605	0.339	1.234	0.698	0.536	1.298	0.819	0.479	1017.757
CHEMBL398272_0_97	CHEMBL398272	0.94	0.602	0.338	1.275	0.74	0.535	1.242	0.763	0.479	940.135
